,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lindsay's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
1002,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piecing Me Together,"Watson, Renée",,,B01NGUHJSI,277        pp,4.09,"25,249","Feb 14, 2017","Feb 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2017",,Kindle Edition,view,/book/show/25566675-piecing-me-together
1003,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are Okay,"LaCour, Nina*",0525425896,9780525425892,0525425896,236        pp,3.94,"91,224","Feb 14, 2017","Feb 14, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,What a great book about grief and heartbreak and love. The end left me in tears.,Notes are private!,0,0,1,"Apr 15, 2020","Apr 21, 2020","Oct 22, 2017",,Hardcover,view (with text),/book/show/28243032-we-are-okay
1004,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Eskimos Keep Their Babies Warm: And Other Adventures in Parenting,"Hopgood, Mei-Ling",156512958X,9781565129580,156512958X,304        pp,3.57,"3,021","Jan 01, 2012","Jan 10, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An interesting look at non-American parenting practices that made me question why we assume one way is the right way, when clearly it's better to be oAn interesting look at non-American parenting practices that made me question why we assume one way is the right way, when clearly it's better to be open minded and consider that other practices and traditions may be just as good or even better. ...more",Notes are private!,0,3,1,"Oct 16, 2017","Nov 10, 2017","Oct 16, 2017",,Paperback,view (with text),/book/show/12470851-how-eskimos-keep-their-babies-warm
1005,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Manhattan Beach,"Egan, Jennifer*",1476716730,9781476716732,1476716730,438        pp,3.62,"87,024","Oct 03, 2017","Oct 03, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 15, 2017",,Hardcover,view,/book/show/34467031-manhattan-beach
1006,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl Who Loved Tom Gordon,"King, Stephen*",1416524290,9781416524298,1416524290,264        pp,3.63,"162,279","Apr 06, 1999",2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 28, 2017",,Mass Market Paperback,view,/book/show/11564.The_Girl_Who_Loved_Tom_Gordon
1007,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Memory of Light,"Stork, Francisco X.*",0545474329,9780545474320,0545474329,336        pp,3.98,"6,274","Jan 26, 2016","Jan 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 25, 2017",,Hardcover,view,/book/show/25665016-the-memory-of-light
1008,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",1524700487,9781524700485,1524700487,344        pp,4.02,"68,876","Oct 17, 2017","Oct 17, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2018","May 10, 2018","Sep 19, 2017",,Hardcover,view,/book/show/29010395-i-am-not-your-perfect-mexican-daughter
1009,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Turtles All the Way Down,"Green, John*",0141346019,9780525555384,0525555382,304        pp,3.89,"564,644","Oct 10, 2017","Oct 10, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 19, 2017",,Hardcover,view,/book/show/15837671-turtles-all-the-way-down
1010,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fresh Complaint: Stories,"Eugenides, Jeffrey",0374203067,9780374203061,0374203067,285        pp,3.61,"9,019","Oct 03, 2017","Oct 03, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 19, 2017",,Hardcover,view,/book/show/33844793-fresh-complaint
1011,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Fires Everywhere,"Ng, Celeste*",0735224293,9780735224292,0735224293,338        pp,4.08,"1,175,345","Sep 12, 2017","Sep 12, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 19, 2017",,Hardcover,view,/book/show/34273236-little-fires-everywhere
1012,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Midnight’s Children,"Rushdie, Salman",0099578514,9780099578512,0099578514,647        pp,3.98,"123,767","Mar 12, 1981","May 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 19, 2017",,Paperback,view,/book/show/14836.Midnight_s_Children
1013,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Indian Killer,"Alexie, Sherman",009926823X,9780099268239,009926823X,432        pp,3.78,"8,110",1996,1998,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 19, 2017","Oct 13, 2017","Sep 19, 2017",,Paperback,view,/book/show/52878.Indian_Killer
1014,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blind Side,"Lewis, Michael",0393330478,9780393330472,0393330478,339        pp,4.17,"96,157","Sep 17, 2006","Sep 17, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 14, 2017",,Paperback,view,/book/show/817791.The_Blind_Side
1015,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Absolute Darling,"Tallent, Gabriel*",0735211175,9780735211179,0735211175,417        pp,3.61,"49,831","Apr 29, 2017","Aug 29, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"One of the most intense and most descriptive novels on equally beautiful and sickening levels, My Absolute Darling is a book that at times I loved to One of the most intense and most descriptive novels on equally beautiful and sickening levels, My Absolute Darling is a book that at times I loved to hate. There were multiple points when I physically squirmed and slammed the book shut, and more than once even felt the breath knocked out of me. At other moments I felt happily lost in the most evocative nature writing I’ve perhaps ever read. Why 4 stars? Sometimes this book was just too much—almost every character felt, at least at points, like a caricature. But man, what a disturbing ride. ...more",Notes are private!,0,0,1,"Jun 15, 2018","Jul 03, 2018","Sep 11, 2017",,Hardcover,view (with text),/book/show/33572350-my-absolute-darling
1016,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Teacher Misery: Helicopter Parents, Special Snowflakes and Other Bullshit","Morris, Jane*",,,B01FCONNZW,245        pp,3.92,"2,203","May 05, 2016","May 08, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 07, 2017",,Kindle Edition,view,/book/show/30136475-teacher-misery
1017,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dear Fang, With Love","Thorpe, Rufi*",1101875771,9781101875773,1101875771,303        pp,3.85,"2,191","May 24, 2016","May 24, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 06, 2017",,Hardcover,view,/book/show/26192644-dear-fang-with-love
