,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Quiltgranny's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
1403,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Quiet Girl,"Høeg, Peter",0374263698,9780374263690,0374263698,424        pp,3.23,"2,967",2006,"Oct 30, 2007",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the third time I've tried this book. I liked Smilla's Sense of Snow, and Bookmarks magazine had a great , so I thought I would try to stThis is the third time I've tried this book. I liked Smilla's Sense of Snow, and Bookmarks magazine had a great , so I thought I would try to stretch myself a bit and ""read outside the box"". I just can't do it. Not only is the plot somewhat fantasy, but the story starts out like you are already supposed to know who the characters are and what is happening. I felt totally lost about who was who, who was where, and what was going on. This genre is just not for me....more",Notes are private!,0,0,1,not set,"Dec 22, 2009","Apr 08, 2009",,Hardcover,view (with text),/book/show/528918.The_Quiet_Girl
1404,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remembering the Bones,"Itani, Frances",0002005409,9780002005401,0002005409,283        pp,3.62,"1,310","Sep 14, 2007","Sep 11, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 05, 2011","Apr 08, 2009",,Hardcover,view,/book/show/1844690.Remembering_the_Bones
1405,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Revolutionary Road,"Yates, Richard",,,,355        pp,3.92,"88,304","Dec 31, 1961","Feb 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2009",,Paperback,view,/book/show/48328.Revolutionary_Road
1406,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Savage Detectives,"Bolaño, Roberto",0374191484,9780374191481,0374191484,577        pp,4.17,"44,061","Nov 02, 1998","Apr 03, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2009",,Hardcover,view,/book/show/63033.The_Savage_Detectives
1407,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sea of Poppies        (Ibis Trilogy, #1)","Ghosh, Amitav",071956896X,9780719568961,071956896X,513        pp,3.97,"27,415","May 01, 2008","May 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2009",,Paperback,view,/book/show/1330324.Sea_of_Poppies
1408,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Scripture,"Barry, Sebastian",0571215289,9780571215287,0571215289,300        pp,3.83,"21,387","Apr 02, 2008","May 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2009",,Hardcover,view,/book/show/3419808-the-secret-scripture
1409,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Secret Son,"Lalami, Laila*",1565124944,9781565124943,1565124944,291        pp,3.49,"1,592","Apr 21, 2009","Apr 21, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 20, 2010","Jul 26, 2010","Apr 08, 2009",,Hardcover,view,/book/show/4654809-secret-son
1410,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Signed, Mata Hari","Murphy, Yannick",031611264X,9780316112642,031611264X,288        pp,3.45,595,"Nov 14, 2007","Nov 14, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2009",,Hardcover,view,/book/show/528990.Signed_Mata_Hari
1411,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sitting Practice,"Adderson, Caroline",1590305582,9781590305584,1590305582,336        pp,3.13,247,2003,"Mar 11, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2009",,Hardcover,view,/book/show/2770776-sitting-practice
1412,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Skeletons at the Feast,"Bohjalian, Chris*",0307394956,9780307394958,0307394956,372        pp,4.00,"26,140",2008,"May 06, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 20, 2010","Apr 23, 2010","Apr 08, 2009",,Hardcover,view,/book/show/2017056.Skeletons_at_the_Feast
