,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tannaz's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
287,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bone Labyrinth        (Sigma Force, #11)","Rollins, James*",0062381636,9780062381637,0062381636,688        pp,4.15,"15,895","Dec 15, 2015","Dec 15, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 30, 2022",,Unknown Binding,view,/book/show/23434061-the-bone-labyrinth
288,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in the White Kimono,"Johns, Ana*",0778308146,9780778308140,0778308146,352        pp,4.27,"22,489","May 28, 2019","May 28, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 30, 2022",,Hardcover,view,/book/show/41860708-the-woman-in-the-white-kimono
289,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"With Our Blessing        (Inspector Tom Reynolds, #1)","Spain, Jo*",1784293172,,B00X66FJYM,447        pp,4.15,"4,329","Jul 27, 2015","Sep 03, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,So great,Notes are private!,0,0,1,not set,not set,"Jul 30, 2022",,Kindle Edition,view (with text),/book/show/26215459-with-our-blessing
290,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Taken by a Sinner        (Sinners, #1)","Heard, Michelle*",,,B09TWPBYYN,405        pp,3.92,"34,149","Mar 28, 2022","Mar 28, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Jul 23, 2022",,Kindle Edition,view,/book/show/60633098-taken-by-a-sinner
291,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Que serais-je sans toi?,"Musso, Guillaume",2845634196,9782845634190,2845634196,296        pp,3.83,"6,962","Apr 30, 2009","Apr 28, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Jul 22, 2022",,Paperback,view,/book/show/6351848-que-serais-je-sans-toi
292,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Luca Vitiello        (Born in Blood Mafia Chronicles, #0)","Reilly, Cora*",,,B07THDRLJM,351        pp,3.97,"21,421","Jun 23, 2019","Jun 23, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 21, 2022",,Kindle Edition,view,/book/show/50761716-luca-vitiello
293,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bound by Temptation        (Born in Blood Mafia Chronicles, #4)","Reilly, Cora*",,,,261        pp,3.83,"42,917","Aug 26, 2015","Aug 26, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 21, 2022",,Kindle Edition,view,/book/show/52003990-bound-by-temptation
294,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bound by Love        (Born in Blood Mafia Chronicles, #6)","Reilly, Cora*",,,B07H6N8H8T,393        pp,4.01,"31,593","Dec 04, 2018","Dec 04, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 21, 2022",,Kindle Edition,view,/book/show/52394480-bound-by-love
295,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,گچ و چای سردشده,افشین‌نوید، آتوسا*,,9786002294746,,98        pp,3.29,70,unknown,2016,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jul 20, 2022",,Paperback,view,/book/show/30051599
296,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,سالاریها,"Alavi, Bozorg",9649066632,9789649066639,9649066632,178        pp,3.19,495,1979,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 20, 2022",,,view,/book/show/67463._
