,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Amina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
403,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Svježa voda za cvijeće,"Perrin, Valérie",,9789538400063,,456        pp,4.28,"72,429","Feb 28, 2018",2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 12, 2022",,Paperback,view,/book/show/60851164-svje-a-voda-za-cvije-e
404,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Iza šutnje su planine,"Repeša, Adnan",9958305720,9789958305726,9958305720,146        pp,3.86,14,unknown,2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Poželim nekad pročitati nešto domaće, nešto drugačije i ne baš jednostavno. Stilski dotjerana zbirka priča sa tematikom djetinjstva, odrastanja, predrPoželim nekad pročitati nešto domaće, nešto drugačije i ne baš jednostavno. Stilski dotjerana zbirka priča sa tematikom djetinjstva, odrastanja, predrasuda, rata...Nimalo jednostavno djelo koje će vas natjerati da se zamislite, preispitate svoje životne prioritete. Ocjena 4, jer Repeša je pisac koji obecava....more",Notes are private!,0,8,1,"Jun 11, 2022","Jun 12, 2022","Jun 11, 2022",,Paperback,view (with text),/book/show/58386389-iza-utnje-su-planine
405,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Knjižara u Teheranu,"Kamali, Marjan*",,9789958306211,9958306212,302        pp,4.22,"78,316","Jun 18, 2019",2021,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Divno. Očaravajuće. Progutala sam roman za 24h. Čista petica.,Notes are private!,0,6,1,"Jun 08, 2022","Jun 10, 2022","Jun 08, 2022",,Paperback,view (with text),/book/show/59909542-knji-ara-u-teheranu
406,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I sad si se vratio,"Mansell, Jill",,9788652141630,,344        pp,3.97,"8,372","Jan 07, 2021","Oct 05, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ljubavi roman koji govori o povratku i obnovi strae ljubavi nakon 13 godina. Sve prepreke, sitne razmirice, lične i kolektivne drame jako su jako lijeLjubavi roman koji govori o povratku i obnovi strae ljubavi nakon 13 godina. Sve prepreke, sitne razmirice, lične i kolektivne drame jako su jako lijepo uklopljene u na prvi pogled površnu ljubavnu dramu.Roman je pravo ljetno lagano štivo idealno za čitanje na plaži sa nezaobilaznim hepi endom ...more",Notes are private!,0,8,1,"Jul 15, 2022","Jul 18, 2022","Jun 08, 2022",,Paperback,view (with text),/book/show/59936715-i-sad-si-se-vratio
407,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jezero br. 13,"McGregor, Jon",,9788652132263,,286        pp,3.56,"13,058","Apr 06, 2017","Aug 22, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 07, 2022",,Paperback,view,/book/show/52757152-jezero-br-13
408,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recept za savršenu suprugu,"Brown, Karma*",,9788652143931,,306        pp,3.68,"21,309","Dec 31, 2019",2022,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pozitivno sam iznenađena radnjom i sadržajem ovog romana. Na prvi pogled trivijalna tema o problematici muško-ženskih odnosa, razrađena je na jako zanPozitivno sam iznenađena radnjom i sadržajem ovog romana. Na prvi pogled trivijalna tema o problematici muško-ženskih odnosa, razrađena je na jako zanimljiv i kreativan način. Emancipacija žena u društvu je uvijek aktuelan problem i uživala sam dok sam čitala ovaj roman, koji prati dvije žene u različitim vremenskim okvirima , koje su tako slične i čije sudbine postaju skoro identične.Roman se brzo čita i preporučujem ga, ne samo za razonodu, nego i za pouku o hrabrosti i domišljatosti koja može pobijediti zlo....more",Notes are private!,0,4,1,"Jun 06, 2022","Jun 08, 2022","Jun 06, 2022",,Paperback,view (with text),/book/show/60235982-recept-za-savr-enu-suprugu
409,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Povratak,"Sparks, Nicholas*",,,,328        pp,3.90,"88,765","Aug 10, 2020",Mar 2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lagano ljetno štivo, očekivano romantično sa dozom misterije, kako to zna napisati Sparks. Za odmor i relaksaciju uma, preporučujem.",Notes are private!,0,13,1,"Jun 03, 2022","Jun 06, 2022","Jun 03, 2022",,Paperback,view (with text),/book/show/57517591-povratak
410,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Knjiga izgubljenih prijatelja,"Wingate, Lisa*",,9788652143511,,416        pp,4.16,"100,823","Apr 07, 2020","Jan 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Emotivna drama. Spoj prošlosti i sadašnjosti. Uživala sam u čitanju.,Notes are private!,0,3,1,"Dec 02, 2023","Dec 04, 2023","Jun 02, 2022",,Paperback,view (with text),/book/show/60071362-knjiga-izgubljenih-prijatelja
411,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apotekar iz Aušvica,"Posner, Patricia*",,9788660358334,,248        pp,4.01,"4,522","Apr 25, 2000",Jun 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2022",,Paperback,view,/book/show/58361538-apotekar-iz-au-vica
412,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Časovničareva kći,"Morton, Kate*",,9788652136421,,557        pp,3.75,"97,445",Sep 2018,"Mar 06, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nimalo jednostavno djelo sa mnoštvom likova, paralelnih radnji, preplitanja prošlosti i sadašnjosti. Ne možete ga čitati površno i s pola mozga, jer zNimalo jednostavno djelo sa mnoštvom likova, paralelnih radnji, preplitanja prošlosti i sadašnjosti. Ne možete ga čitati površno i s pola mozga, jer zahtijeva duboku koncentraciju i praćenje detalja. Sviđa mi se stil Kejt Morton i potražiću i njene druge romane....more",Notes are private!,0,10,1,"May 30, 2022","Jun 03, 2022","May 30, 2022",,Paperback,view (with text),/book/show/50997939-asovni-areva-k-i
413,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Divojka,"Đođić, Tarik",9958304767,9789958304767,9958304767,192        pp,4.62,21,unknown,Dec 2019,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pisano sa dušom, iz dubine samog srca.",Notes are private!,0,6,1,"May 28, 2022","May 30, 2022","May 28, 2022",,Paperback,view (with text),/book/show/53297055-divojka
414,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Šeherzada u Sarajevu,"Larson, Emira*",,9789958301803,,112        pp,3.22,9,2013,2013,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kratke i realistične pričice o ratnom i postratnom Sarajevu. Jako je nezahvalno dati ocjenu za zbirku priča, jer svaka priča je na svoj način ostavilaKratke i realistične pričice o ratnom i postratnom Sarajevu. Jako je nezahvalno dati ocjenu za zbirku priča, jer svaka priča je na svoj način ostavila utisak, neka mlak, neka me oduševila. Zato dajem solidnu tricu....more",Notes are private!,0,7,1,"May 27, 2022","May 28, 2022","May 27, 2022",,Paperback,view (with text),/book/show/18619698-eherzada-u-sarajevu
