,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Deacon Tom's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
544,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious for Nothing: Finding Calm in a Chaotic World,"Lucado, Max*",0718096126,9780718096120,0718096126,240        pp,4.17,"24,817",2017,"Sep 05, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The theme of the book is God is with us regardless of our our moods our feelings towards God and when we feel down God is there This book was full of The theme of the book is God is with us regardless of our our moods our feelings towards God and when we feel down God is there This book was full of examples. It made me look at myself deeply My personal reflection was to say, “What’s the worst thing that’s ever happened to me in my 73 years”? My answer over all the years God was always there. A great book for all but especially Christians. ...more",Notes are private!,0,11,1,"Mar 27, 2023","Mar 27, 2023","Mar 27, 2023",,Hardcover,view (with text),/book/show/32951877-anxious-for-nothing
545,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Calvary's Hill: 40 Readings for the Easter Season,"Lucado, Max*",,,B00B4DNOSW,128        pp,4.61,756,"Jan 01, 2013","Oct 24, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Exceptional devotional for Lent.,Notes are private!,0,7,1,"Mar 26, 2023","Mar 30, 2023","Mar 26, 2023",,Kindle Edition,view (with text),/book/show/18913352-on-calvary-s-hill
546,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Making of Biblical Womanhood: How the Subjugation of Women Became Gospel Truth,"Barr, Beth Allison",,,B08CJHYGRN,256        pp,4.41,"13,534","Apr 20, 2021","Apr 20, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I must say that this book was a very big surprise for me. I struggled a bit with the first chapter some of her definitions, and where she was going.FrI must say that this book was a very big surprise for me. I struggled a bit with the first chapter some of her definitions, and where she was going.From the second chapter on this was clearly a masterpiece.In my studies, I have always been focused on the role of women in the church. To be honest and many of the roles that bar lays out. The best thing for me is this book gives me a source and a series of references to help me while making the case for women.I recommend it for most Christian women. I hope you can get past the first chapter, because the rest is amazing....more",Notes are private!,0,4,1,"Mar 23, 2023","Mar 26, 2023","Mar 23, 2023",,Kindle Edition,view (with text),/book/show/54749699-the-making-of-biblical-womanhood
547,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Magnificat: Protestants on Mary of Guadalupe,"Johnson, Maxwell E.",0814639194,9780814639191,B0040JHGF4,224        pp,3.67,3,"Feb 01, 2010","Jan 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 23, 2023","Mar 26, 2023","Mar 23, 2023",,Kindle Edition,view,/book/show/19447096-american-magnificat
548,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Celtic Religion in Pre-Christian Times,"Anwyl, Edward",,,B0082RIOU6,58        pp,3.34,168,1906,"May 12, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a translation of a very old are book on the Celts. The author does a very good job of presenting a complete model. From defining the area thatThis is a translation of a very old are book on the Celts. The author does a very good job of presenting a complete model. From defining the area that they lived in, and the language they spoke to their fundamental beliefs. The author did well.If this is your area of research or your area of enjoyment, this is a good book for you....more",Notes are private!,0,1,1,"Mar 23, 2023","Mar 26, 2023","Mar 23, 2023",,Kindle Edition,view (with text),/book/show/19069539-celtic-religion-in-pre-christian-times
549,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zealot: The Life and Times of Jesus of Nazareth,"Aslan, Reza",140006922X,9781400069224,140006922X,296        pp,3.86,"69,742","Jul 16, 2013","Jul 16, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I quit! I wrote two s for this, and not one one of them took",Notes are private!,0,3,1,"Mar 23, 2023","Mar 24, 2023","Mar 23, 2023",,Hardcover,view (with text),/book/show/17568801-zealot
550,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Defense of Jesus: Investigating Attacks on the Identity of Christ,"Strobel, Lee",,,B01863JKBM,327        pp,4.41,90,unknown,"Sep 06, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"InterestingSuperb in many ways. The writing is easy to read, yet scholarly. The research is pristine and well documented. Overall, I enjoyed the book InterestingSuperb in many ways. The writing is easy to read, yet scholarly. The research is pristine and well documented. Overall, I enjoyed the book and recommend....more",Notes are private!,0,8,1,"Mar 22, 2023","Mar 24, 2023","Mar 22, 2023",,Kindle Edition,view (with text),/book/show/31842453-in-defense-of-jesus
551,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Passenger        (The Passenger #1),"McCarthy, Cormac",0593535227,,B09T9D8QY7,385        pp,3.59,"28,966","Oct 25, 2022","Oct 25, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow! This was quite a ride. On one hand, I loved how he broke the norms of writing.I got crazy about the plot because I’m not sure where I was going fWow! This was quite a ride. On one hand, I loved how he broke the norms of writing.I got crazy about the plot because I’m not sure where I was going from page to page, but it was interesting.Lightly recommend....more",Notes are private!,0,11,1,"Mar 21, 2023","Mar 22, 2023","Mar 21, 2023",,Kindle Edition,view (with text),/book/show/60581087-the-passenger
552,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cloisters,"Hays, Katy*",,,B09ZVJX964,320        pp,3.42,"54,545","Nov 01, 2022","Nov 01, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is based on some really good concepts. But it failed miserablySlow, slower, slowest that describes the pace of reading for this book.I have This book is based on some really good concepts. But it failed miserablySlow, slower, slowest that describes the pace of reading for this book.I have no idea in the world how this got such good s. My recommendation – – avoid! ...more",Notes are private!,0,7,1,"Mar 20, 2023","Mar 21, 2023","Mar 20, 2023",,Kindle Edition,view (with text),/book/show/59125414-the-cloisters
553,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dawn: A Complete Account of the Most Important Day in Human History, Nisan 18, AD 30","Miller, Mark*",0979439310,9780979439315,0979439310,392        pp,4.33,12,unknown,"Jan 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is truly an outstanding book! Of Note, the author takes a thoroughly researched approach to bringing the resurrection of Jesus Christ to us in imThis is truly an outstanding book! Of Note, the author takes a thoroughly researched approach to bringing the resurrection of Jesus Christ to us in important ways.First by bringing us a story with all of the surrounding details, which is important to someone with some religious studies background.Secondly, he removes the extraneous information and brings us a tightly squeezed version that is easy and fast to read.Finally, he goes into an in-depth midrash for important elements of this most important day.The author should be complimented for his fantastic work, and I recommend it to all, especially those with background and religious studies.I received an advance  copy for free, and I am leaving this  voluntarily....more",Notes are private!,0,9,1,"Mar 19, 2023","Mar 24, 2023","Mar 19, 2023",,Paperback,view (with text),/book/show/93383122-dawn
554,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The One You Want,"Ryan, Jennifer*",,,B09HSC4NHC,363        pp,3.70,883,unknown,"Jul 05, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Mar 18, 2023","Mar 20, 2023","Mar 18, 2023",,Kindle Edition,view,/book/show/59932201-the-one-you-want
555,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Honeymoon in Baghdad,"Radkiewicz, Heidi*",,,B07CZW6FWY,unknown,4.00,109,unknown,Aug 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2023",,Kindle Edition,view,/book/show/58864419-honeymoon-in-baghdad
556,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Maybe Once, Maybe Twice","Greenberg, Alison Rose*",1250791626,9781250791627,1250791626,336        pp,3.72,"6,687","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2023",,Paperback,view,/book/show/65212083-maybe-once-maybe-twice
557,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The White Album: Essays,"Didion, Joan",,,B072HMBLSM,224        pp,4.06,"39,038",1979,"May 09, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For me, collections of essays,have some good, great, and not so good.The collection does give you an insight into Joan Didion’s thought process.I mildFor me, collections of essays,have some good, great, and not so good.The collection does give you an insight into Joan Didion’s thought process.I mildly recommend....more",Notes are private!,0,4,1,"Mar 18, 2023","Mar 19, 2023","Mar 18, 2023",,Kindle Edition,view (with text),/book/show/35075917-the-white-album
558,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl He Used to Know,"Garvis-Graves, Tracey*",1250200350,9781250200358,1250200350,291        pp,3.94,"48,352","Apr 02, 2019","Apr 02, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A beautiful book about reunion, unconditional love, and faith.A lovely couple, who have a strong loving their college days drift apart over the years.A beautiful book about reunion, unconditional love, and faith.A lovely couple, who have a strong loving their college days drift apart over the years. Then by chance, they get together again.The ending of this book may be one of the finest I have ever read. It tears at one’s heart, it causes some tears, and it brings out joy as well.I highly recommend this book....more",Notes are private!,0,34,1,"Mar 18, 2023","Mar 18, 2023","Mar 18, 2023",,Hardcover,view (with text),/book/show/36117813-the-girl-he-used-to-know
559,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Unknown Americans,"Henríquez, Cristina*",,,B00H6JFIGO,305        pp,3.89,"43,102","Jun 03, 2014","Jun 03, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is absolutely wonderful!Struggles is over all theme. From misidentification of national origins, prejudice against skin color, and the neverThis book is absolutely wonderful!Struggles is over all theme. From misidentification of national origins, prejudice against skin color, and the never ending economic struggle in the American society.What is the most lovely thing about this book is a love story. Many obstacles I’m way better. O hearts.One of the best books so far year!...more",Notes are private!,0,3,1,"Mar 16, 2023","Mar 18, 2023","Mar 16, 2023",,Kindle Edition,view (with text),/book/show/19819112-the-book-of-unknown-americans
