,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Dan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
819,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shanghai Free Taxi: Journeys with the Hustlers and Rebels of the New China,"Langfitt, Frank*",1610398149,9781610398145,1610398149,320        pp,3.92,968,"Jun 11, 2019","Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 16, 2019",,Hardcover,view,/book/show/42283958-the-shanghai-free-taxi
820,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Life Finds a Way: What Evolution Teaches Us About Creativity,"Wagner, Andreas",1541645332,9781541645332,1541645332,320        pp,3.74,113,unknown,"Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 13, 2019",,Hardcover,view,/book/show/42283855-life-finds-a-way
821,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Song for the Unraveling of the World: Stories,"Evenson, Brian",1566895480,9781566895484,1566895480,208        pp,3.88,"3,601","Jun 11, 2019","Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 12, 2019",,Paperback,view,/book/show/41888678-song-for-the-unraveling-of-the-world
822,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recursion,"Crouch, Blake*",1524759783,9781524759780,1524759783,326        pp,4.16,"234,604","Jun 11, 2019","Jun 11, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 10, 2019",,Hardcover,view,/book/show/42046112-recursion
823,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Palaces for the People: How Social Infrastructure Can Help Fight Inequality, Polarization, and the Decline of Civic Life","Klinenberg, Eric",1524761168,9781524761165,1524761168,288        pp,3.97,"4,526","Sep 11, 2018","Sep 11, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,Jun 2019,"Jun 01, 2019",,Hardcover,view,/book/show/37707827-palaces-for-the-people
824,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bitten: The Secret History of Lyme Disease and Biological Weapons,"Newby, Kris*",0062932705,9780062932709,,6        pp,3.96,"1,273","May 07, 2019","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2019",,Audiobook,view,/book/show/42117387-bitten
825,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Stony the Road: Reconstruction, White Supremacy, and the Rise of Jim Crow","Gates Jr., Henry Louis",0525559531,9780525559535,0525559531,296        pp,4.17,"3,785","Apr 02, 2019","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 28, 2019",,Hardcover,view,/book/show/40909438-stony-the-road
826,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Death at the Golden Gate: The Race to Save America from the Bubonic Plague,"Randall, David K.",0393609456,9780393609455,0393609456,304        pp,4.06,"1,709","May 07, 2019","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 27, 2019",,Hardcover,view,/book/show/41817537-black-death-at-the-golden-gate
827,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exhalation,"Chiang, Ted",,,,368        pp,4.28,"91,590","May 07, 2019","May 07, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 12, 2019",,Kindle Edition,view,/book/show/41160292-exhalation
828,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good to Go: What the Athlete in All of Us Can Learn from the Strange Science of Recovery,"Aschwanden, Christie",039325433X,9780393254334,039325433X,312        pp,4.00,"2,546","Feb 05, 2019","Feb 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 12, 2019",,Hardcover,view,/book/show/40180017-good-to-go
829,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Inferior: How Science Got Women Wrong—and the New Research That's Rewriting the Story,"Saini, Angela*",0807071706,9780807071700,0807071706,200        pp,4.06,"8,703","May 30, 2017","May 30, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 12, 2019",,Hardcover,view,/book/show/31869108-inferior
830,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Underland: A Deep Time Journey,"Macfarlane, Robert*",0393242145,9780393242140,0393242145,496        pp,4.23,"17,628","May 02, 2019","Jun 04, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Jun 21, 2019not set","May 08, 2019",,Hardcover,view,/book/show/41817481-underland
831,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hacking Darwin: Genetic Engineering and the Future of Humanity,"Metzl, Jamie",149267009X,9781492670094,149267009X,327        pp,4.01,"3,420","Apr 23, 2019","Apr 23, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 03, 2019",,Hardcover,view,/book/show/40597264-hacking-darwin
832,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Map of Salt and Stars,"Joukhadar, Zeyn*",1501169033,9781501169038,1501169033,360        pp,3.92,"18,499","May 01, 2018","May 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 01, 2019",,Hardcover,view,/book/show/36373417-the-map-of-salt-and-stars
833,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Social Fact: News and Knowledge in a Networked World,"Wihbey, John P",0262039591,9780262039598,0262039591,328        pp,4.75,4,unknown,"Apr 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2019",,Hardcover,view,/book/show/42068860-the-social-fact
834,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,K: A History of Baseball in Ten Pitches,"Kepner, Tyler",1984883291,9781984883292,1984883291,512        pp,4.11,"2,250","Apr 02, 2019","Apr 02, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 27, 2019","Apr 24, 2019",,Paperback,view,/book/show/40828954-k
835,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hummers, Knucklers, and Slow Curves: CONTEMPORARY BASEBALL POEMS","Johnson, Don",0252061837,9780252061837,0252061837,160        pp,3.83,12,1991,"May 01, 1991",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 17, 2019",,Paperback,view,/book/show/1193633.Hummers_Knucklers_and_Slow_Curves
836,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Do Nothing: Resisting the Attention Economy,"Odell, Jenny*",1612197493,9781612197494,1612197493,232        pp,3.69,"48,584","Apr 09, 2019","Apr 09, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 15, 2019",,Hardcover,view,/book/show/42771901-how-to-do-nothing
837,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The City in the Middle of the Night,"Anders, Charlie Jane*",0765379961,9780765379962,0765379961,366        pp,3.50,"11,732","Feb 12, 2019","Feb 12, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"May 11, 2020","Apr 15, 2019",,Hardcover,view,/book/show/37534907-the-city-in-the-middle-of-the-night
838,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Republic of Lies: American Conspiracy Theorists and Their Surprising Rise to Power,"Merlan, Anna",1250159059,9781250159052,1250159059,288        pp,3.90,"1,652","Apr 16, 2019","Apr 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2019",,Hardcover,view,/book/show/40046060-republic-of-lies
839,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Comfort Measures Only: New and Selected Poems, 1994–2016","Campo, Rafael",147800021X,9781478000211,147800021X,184        pp,4.02,43,"Apr 15, 2016","Sep 20, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2019",,Paperback,view,/book/show/36499905-comfort-measures-only
840,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Losing Earth: A Recent History,"Rich, Nathaniel*",0374191336,9780374191337,0374191336,224        pp,4.09,"2,922","Aug 05, 2018","Apr 09, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2019",,Hardcover,view,/book/show/41940347-losing-earth
841,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Horizon,"Lopez, Barry",0394585828,9780394585826,0394585828,572        pp,4.16,"1,671","Mar 19, 2019","Mar 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2019",,Hardcover,view,/book/show/15259073-horizon
