,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Danielle ❤️ Pretty Mess Reading ❤️'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Token Black Girl,"Prescod, Danielle",1542035171,9781542035170,B09KLLG3L2,251        pp,3.93,"6,058","Oct 01, 2022","Oct 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Kindle Edition,view,/book/show/61049580-token-black-girl
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beauty in Breaking,"Harper, Michele",0525537384,9780525537380,0525537384,304        pp,3.82,"29,759","Jul 07, 2020","Jul 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Hardcover,view,/book/show/50043108-the-beauty-in-breaking
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sun Sets in Singapore,"Fadipe, Kehinde",,9781538741498,,352        pp,3.40,"2,317","Jul 06, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/124949129-the-sun-sets-in-singapore
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Glory Be        (Glory Broussard Mystery, #1)","Arceneaux, Danielle",1639364846,9781639364848,B0CGRZG9GK,271        pp,3.86,"1,454",unknown,"Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Kindle Edition,view,/book/show/101016900-glory-be
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House Woman,"Nworah, Adorah*",1951213564,9781951213565,1951213564,314        pp,3.41,367,"Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/63141623-house-woman
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Middle Daughter,"Unigwe, Chika*",1950539466,9781950539468,,unknown,3.92,601,unknown,"Apr 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/75677143-the-middle-daughter
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightbloom,"Medie, Peace Adzo",1643752847,9781643752846,1643752847,352        pp,3.96,"1,268","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/62874316-nightbloom
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daughter in Exile,"Adjapon, Bisi*",0063089025,9780063089020,0063089025,400        pp,3.88,643,"Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/61281748-daughter-in-exile
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Her Perfect Mate        (The Stone Pack Book 2),"King, Thayer",,,B0C2L48Z3S,198        pp,4.08,301,unknown,"Apr 28, 2023",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was beyond horrible. I’m dumbfounded at how bad it was. The writing was all over the place, the storyline was boring, and the characters had zeroThis was beyond horrible. I’m dumbfounded at how bad it was. The writing was all over the place, the storyline was boring, and the characters had zero personality. ...more",Notes are private!,0,1,1,"Feb 26, 2024","Feb 26, 2024","Feb 26, 2024",,Kindle Edition,view (with text),/book/show/132714866-her-perfect-mate
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love Me: A Billionaire Friends-to-Lovers Romance        (Townsend Legacy Book 2),"Patterson, Tiffany*",,,B0C375QJBK,371        pp,4.38,941,unknown,"Oct 12, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 20, 2024","Feb 25, 2024","Feb 25, 2024",,Kindle Edition,view,/book/show/137248064-love-me
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Truth According to Ember,"Nava, Danica*",0593642619,9780593642610,B0CLKZBSDW,0        pp,4.45,64,"Aug 06, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Kindle Edition,view,/book/show/201751362-the-truth-according-to-ember
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vicious Impulses        (The Capo and the Ballerina #1),"Vega, Sienne*",,,B0CHQVRB2M,291        pp,3.98,195,unknown,"Nov 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Kindle Edition,view,/book/show/198907948-vicious-impulses
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Priest        (The Church #3),"Rayne, Tiya*",,,B09NPHTZZ7,431        pp,4.74,789,unknown,"Dec 15, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Feb 21, 2024","Feb 21, 2024","Feb 21, 2024",,Kindle Edition,view,/book/show/59832913-priest
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saving Ruby King,"West, Catherine Adel*",,,,352        pp,3.91,"5,553","Jun 16, 2020","Jun 16, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/44131181-saving-ruby-king
