,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maria's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
495,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doamna Nobel,"Strømme, Lisa",6067796600,9786067796605,6067796600,352        pp,3.73,389,2018,Aug 2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/54925791-doamna-nobel
496,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frankissstein: O poveste de iubire,"Winterson, Jeanette",,978606779660,,328        pp,3.55,"12,737","May 28, 2019","Oct 10, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/55658563-frankissstein
497,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trei etaje,"Nevo, Eshkol",6067792672,9786067792676,6067792672,296        pp,4.07,"11,600",2015,Nov 2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/36529893-trei-etaje
498,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jurnalul unui librar,"Bythell, Shaun",6069783158,9786069783153,6069783158,352        pp,3.73,"27,440","Jan 01, 2017",2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/55425873-jurnalul-unui-librar
499,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,În amintirea memoriei,"Stepanova, Maria",6067797798,9786067797794,6067797798,416        pp,3.85,"1,855",2017,Mar 2021,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/57443469-n-amintirea-memoriei
500,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pereți albi,"Tolstaya, Tatyana",6064408340,9786064408341,6064408340,384        pp,4.01,563,"Apr 17, 2007",2021,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/58039145-pere-i-albi
501,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Între prieteni,"Oz, Amos",,9789736897740,9736897745,184        pp,4.04,"2,798",2012,Sep 2014,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/23253969-ntre-prieteni
502,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crimă și pedeapsă,"Dostoevsky, Fyodor",,9789731021041,9731021043,598        pp,4.27,"903,867",1866,"Apr 07, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Hardcover,view,/book/show/10312886-crim-i-pedeaps
503,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Arta de a-ți lua rămas-bun,"Tsabari, Ayelet*",9735072084,9789735072087,9735072084,360        pp,3.99,"1,180",Feb 2019,Oct 2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/59484474-arta-de-a--i-lua-r-mas-bun
504,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pelinul negru,"Nicolaie, Ioana",9735056003,9789735056001,9735056003,224        pp,4.06,638,Mar 2017,Mar 2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/34668970-pelinul-negru
505,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paltonul cu gaică,"Shishkin, Mikhail",6065889652,9786065889651,6065889652,293        pp,4.12,111,2017,May 2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/35359153-paltonul-cu-gaic
506,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Luminile şi umbrele sufletului,"Creţia, Petru",9735028190,9789735028190,9735028190,160        pp,4.36,327,1995,2011,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/15834190-luminile-i-umbrele-sufletului
507,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Manuscrisul fanariot,"Ruști, Doina*",9734653261,9789734653263,9734653261,296        pp,4.13,327,Feb 2015,Mar 2015,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/25181852-manuscrisul-fanariot
508,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,De ce este România altfel?,"Boia, Lucian",9735038382,9789735038380,9735038382,128        pp,3.85,"2,435",2012,2012,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/16165917-de-ce-este-rom-nia-altfel
509,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Viața secretă a copacilor Cum comunică, ce simt. Descoperirea unei lumi ascunse","Wohlleben, Peter",,,,280        pp,4.07,"74,398","May 25, 2015",2017,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,,view,/book/show/35529762-via-a-secret-a-copacilor-cum-comunic-ce-simt-descoperirea-unei-lumi
510,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fifth Child,"Lessing, Doris",0679721827,9780679721826,0679721827,133        pp,3.62,"21,057",1988,"Nov 17, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/546644.The_Fifth_Child
511,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sexagenara și tânărul,"Iuga, Nora",,,B00EAY9WCE,103        pp,3.80,333,"Jan 01, 2000","Feb 08, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,ebook,view,/book/show/22665214-sexagenara-i-t-n-rul
512,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scris pe trup,"Winterson, Jeanette",9736892166,9789736892165,9736892166,232        pp,4.08,"29,828",1992,2008,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/9464525-scris-pe-trup
513,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eseuri de îndrăgostit,"de Botton, Alain*",,9735006251,,240        pp,3.97,"31,604",Nov 1993,2003,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/13514189-eseuri-de-ndr-gostit
514,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oscar și Tanti Roz,"Schmitt, Éric-Emmanuel",9736894827,9789736894824,9736894827,114        pp,4.24,"51,447",2002,2012,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/9694407-oscar-i-tanti-roz
515,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Între cer şi pământ,"Stefánsson, Jón Kalman",,9789734648986,9734648985,240        pp,4.17,"5,957",2007,Sep 2014,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/25003000-ntre-cer-i-p-m-nt
516,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Travesti,"Cărtărescu, Mircea",9732805048,9789732805046,9732805048,174        pp,3.56,"1,752",1994,"Jan 01, 1994",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/808183.Travesti
517,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Întâmplări în irealitatea imediată; Inimi cicatrizate,"Blecher, Max",6067930102,9786067930108,6067930102,272        pp,4.10,"2,299",1936,"Nov 09, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/34701149-nt-mpl-ri-n-irealitatea-imediat-inimi-cicatrizate
518,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Efectele secundare ale vieții,"Zografi, Vlad",9735054450,9789735054458,9735054450,468        pp,3.85,156,Nov 2016,Nov 2016,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/32994405-efectele-secundare-ale-vie-ii
519,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aviatorul,"Vodolazkin, Eugene",9786067792,,,363        pp,4.12,"4,673",2016,2017,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,,view,/book/show/35687740-aviatorul
520,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Câinele iubirii,"Sifft, Sebastian*",9735059916,9789735059910,9735059916,184        pp,3.53,83,Apr 2018,Apr 2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/39702181-c-inele-iubirii
521,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O formă de viață necunoscută,"Răsuceanu, Andreea*",9735062402,9789735062408,9735062402,336        pp,3.74,116,Oct 2018,Oct 2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/42110928-o-form-de-via-necunoscut
522,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zuleiha deschide ochii,"Yakhina, Guzel",6067792699,9786067792690,6067792699,424        pp,4.40,"15,632","Feb 27, 2015",Feb 2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/38882396-zuleiha-deschide-ochii
523,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Toată lumina pe care nu o putem vedea,"Doerr, Anthony*",6067790548,9786067790542,6067790548,464        pp,4.32,"1,661,392","May 06, 2014","May 26, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/30138077-toat-lumina-pe-care-nu-o-putem-vedea
524,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cartea Reghinei,"Nicolaie, Ioana",9735064383,9789735064389,9735064383,224        pp,4.19,481,May 2019,May 2019,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/46032780-cartea-reghinei
525,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apropierea,"Mălaicu-Hondrari, Marin",,978973232896,,248        pp,4.10,345,2010,2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 05, 2022",,Paperback,view,/book/show/9280580-apropierea
